Distance1,Distance2,Distance3,Distance4,Distance5,Distance6,Distance7,Distance8,Distance9,Distance10
3.65,6.65,7.2,4.7,4.45,7.95,8.0,7.9,8.0,7.75
1.85,6.65,5.5,6.75,4.25,7.85,6.75,7.95,7.65,7.6
4.7,6.7,5.55,7.25,4.55,6.9,8.0,6.75,7.2,6.9
5.85,3.8,5.5,7.7,7.55,7.0,2.75,6.75,3.45,6.95
5.95,7.95,8.0,6.75,0.2,7.95,1.8,7.45,7.75,7.0
0.0,0.0,0.45,7.15,5.85,7.45,8.0,7.25,8.0,6.95
0.0,0.0,6.75,7.0,7.75,7.35,7.75,7.15,8.0,6.25
0.0,0.0,0.45,7.5,5.7,7.3,5.35,7.1,7.1,6.1
7.85,6.65,8.0,6.05,7.05,5.55,6.55,5.65,7.15,5.7
8.0,7.65,7.85,3.9,6.8,6.2,6.75,6.35,8.0,6.3
0.0,0.0,5.65,6.35,7.25,6.7,7.3,1.65,7.85,5.9
7.9,6.65,7.7,7.8,8.0,2.5,0.0,0.0,0.0,0.0
6.65,1.35,8.0,7.8,8.0,7.75,7.5,6.0,7.15,6.0
8.0,7.25,6.85,7.65,8.0,7.9,8.0,5.85,7.8,5.6
8.0,7.45,6.7,7.8,7.3,7.95,8.0,5.75,7.45,5.5
1.1,6.55,6.65,7.95,7.65,7.95,7.9,5.35,8.0,5.4
7.7,5.0,6.6,7.95,8.0,7.75,8.0,7.1,5.15,7.55
0.0,0.0,0.0,0.0,0.3,7.95,7.75,6.8,1.5,5.85
7.75,6.2,6.8,5.7,7.85,7.85,8.0,5.75,7.7,5.35
7.5,2.7,7.4,7.45,7.8,7.7,8.0,7.25,8.0,5.25
0.0,0.0,0.0,0.0,2.8,6.4,7.95,7.7,8.0,7.15
0.0,0.0,0.0,0.0,3.25,5.55,6.8,7.5,7.9,5.95
0.0,0.0,0.0,0.0,5.1,5.15,8.0,7.25,8.0,6.9
0.0,0.0,0.0,0.0,0.0,0.0,7.9,7.0,7.15,7.35
0.0,0.0,0.0,0.0,0.0,0.0,7.75,7.6,6.95,7.45
0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.8,8.0,7.65
0.0,0.0,0.0,0.0,0.0,0.0,7.7,6.8,1.35,7.7
0.0,0.0,0.0,0.0,0.0,0.0,7.55,6.9,7.9,7.7
7.75,2.3,8.0,5.6,8.0,7.8,7.3,7.9,7.65,7.8
7.7,2.3,8.0,6.0,8.0,7.95,7.25,7.95,0.0,0.0
7.65,2.3,8.0,7.75,7.85,7.95,7.35,7.75,0.0,0.0
7.55,2.3,8.0,7.45,7.8,7.95,7.85,7.95,3.55,7.95
7.45,7.3,8.0,7.45,8.0,7.95,7.65,7.95,0.0,0.0
7.4,7.3,8.0,7.95,8.0,7.85,7.7,7.95,0.0,0.0
7.4,7.3,8.0,7.45,8.0,7.85,0.0,0.0,0.0,0.0
7.45,7.3,8.0,7.45,8.0,7.85,4.25,7.6,4.0,7.95
7.55,7.3,8.0,7.75,8.0,7.95,7.9,1.75,8.0,2.8
7.55,1.3,8.0,0.45,8.0,0.8,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.3,7.65,0.25
0.0,0.0,0.0,0.0,0.0,0.0,7.85,0.8,7.65,4.85
0.0,0.0,0.0,0.0,1.1,2.05,7.9,4.0,8.0,1.9
0.0,0.0,0.0,0.0,0.8,6.7,3.95,6.0,7.8,5.9
0.0,0.0,0.0,0.0,0.2,6.7,8.0,5.95,7.9,5.95
0.0,0.0,0.0,0.0,0.1,6.7,7.9,6.0,7.9,5.8
8.0,7.95,8.0,7.05,7.55,6.4,7.95,5.85,8.0,0.05
0.0,0.0,4.95,7.85,0.4,7.45,8.0,6.4,8.0,6.75
8.0,6.85,7.85,7.8,7.35,5.9,8.0,5.25,8.0,0.1
8.0,6.8,7.85,7.65,7.15,5.8,8.0,5.15,8.0,0.3
8.0,6.8,7.85,7.5,7.25,6.0,4.4,5.1,8.0,0.65
8.0,6.8,5.3,7.4,7.35,6.05,7.85,5.05,8.0,0.5
8.0,6.85,5.75,7.4,7.4,6.05,8.0,5.05,8.0,0.55
8.0,7.3,7.9,7.95,7.85,7.95,4.75,7.95,8.0,7.5
8.0,7.3,6.2,7.95,7.5,7.8,4.7,7.95,8.0,7.7
8.0,6.85,6.75,7.45,7.55,5.95,8.0,4.95,8.0,0.7
8.0,6.85,6.85,7.95,7.55,6.9,8.0,7.95,8.0,7.05
8.0,7.3,6.65,7.95,7.55,7.8,8.0,7.95,8.0,7.4
8.0,7.3,5.9,7.95,7.65,7.95,8.0,7.95,8.0,7.85
8.0,7.3,5.95,7.95,7.6,7.95,8.0,7.95,8.0,7.95
8.0,7.3,5.7,7.95,7.6,7.95,7.85,7.95,8.0,7.95
7.3,7.3,5.7,7.95,7.6,7.95,7.85,7.95,8.0,7.95
8.0,7.3,5.7,7.4,7.6,5.95,7.85,4.9,8.0,0.4
8.0,7.3,6.25,7.95,7.65,6.95,7.8,7.95,8.0,7.95
8.0,6.85,5.9,7.55,7.55,7.6,7.8,7.95,8.0,7.85
8.0,6.85,5.85,7.95,7.85,7.6,8.0,7.95,8.0,7.85
8.0,6.85,5.85,7.75,7.85,7.65,4.95,7.95,8.0,7.65
8.0,6.85,5.55,7.6,7.9,7.65,5.0,7.95,8.0,7.95
8.0,6.85,5.55,7.65,7.85,7.55,5.0,7.95,8.0,7.7
8.0,6.85,5.5,7.7,7.8,7.6,5.05,6.3,8.0,7.7
8.0,6.85,8.0,7.7,7.75,7.5,8.0,7.95,8.0,7.75
8.0,6.85,8.0,7.75,7.75,7.6,8.0,6.4,8.0,7.75
8.0,6.85,8.0,7.75,7.7,7.6,5.1,7.95,8.0,7.5
8.0,6.85,5.7,7.75,7.7,7.65,5.35,7.95,8.0,7.75
8.0,6.85,8.0,7.75,7.7,7.65,7.9,7.95,8.0,7.5
8.0,6.85,7.85,7.75,7.7,7.65,7.9,7.7,7.95,7.5
8.0,6.85,8.0,7.75,7.65,7.65,7.9,7.85,1.1,7.5
8.0,6.85,8.0,7.05,7.7,7.6,7.9,7.85,3.25,7.5
8.0,6.85,7.85,7.8,7.7,7.6,7.9,7.95,3.25,7.95
8.0,1.35,7.85,7.8,7.65,7.6,8.0,7.95,7.1,7.95
8.0,6.85,7.9,7.8,7.65,7.25,7.9,7.95,7.1,7.8
8.0,6.85,7.9,7.85,7.65,7.35,7.9,7.95,7.1,7.55
8.0,1.4,7.9,7.85,7.65,7.3,6.25,7.95,7.15,7.55
8.0,6.85,7.85,7.85,7.65,7.3,8.0,7.95,7.2,7.55
8.0,6.85,7.85,7.85,7.65,7.3,8.0,7.95,7.2,7.55
8.0,1.4,7.85,7.85,7.65,7.4,8.0,7.95,3.8,7.6
8.0,6.85,7.85,0.1,7.65,7.35,7.9,7.95,8.0,7.6
8.0,6.85,7.85,7.85,7.7,7.5,6.2,7.95,8.0,7.6
8.0,1.2,7.85,0.15,7.7,7.45,6.2,7.95,8.0,7.6
8.0,7.3,7.85,7.95,7.7,7.5,8.0,7.95,8.0,7.85
8.0,6.85,7.85,7.95,7.7,7.65,8.0,7.95,8.0,7.6
8.0,6.85,7.85,7.95,7.75,7.45,8.0,7.95,8.0,7.8
8.0,7.3,6.25,7.95,7.65,7.8,8.0,7.95,8.0,7.8
8.0,7.3,6.25,7.95,7.75,7.6,8.0,7.95,8.0,7.85
8.0,7.3,6.25,7.95,7.7,7.85,7.9,7.95,8.0,7.85
8.0,2.25,7.85,7.95,7.65,7.85,7.9,7.0,8.0,7.4
8.0,7.3,7.85,7.95,7.65,7.85,7.9,7.95,7.9,7.95
8.0,6.85,7.9,7.95,7.65,7.8,7.9,6.95,8.0,7.35
8.0,1.25,7.85,7.95,7.65,7.85,7.9,7.95,4.2,7.85
8.0,2.25,7.85,7.95,7.65,7.95,7.9,7.95,7.9,7.85
8.0,6.85,7.85,7.95,7.65,7.95,8.0,7.95,4.25,7.85
8.0,7.5,7.85,7.95,7.6,7.95,8.0,7.95,7.15,7.85
8.0,2.3,7.9,7.95,7.6,7.95,6.0,7.0,7.85,7.35
0.0,0.0,0.0,0.0,0.35,7.55,6.05,7.1,7.9,6.7
0.0,0.0,0.0,0.0,0.65,7.95,6.05,7.05,8.0,6.6
0.0,0.0,0.0,0.0,0.75,7.95,7.9,7.3,7.8,6.5
8.0,2.25,8.0,5.7,8.0,7.8,7.9,7.45,7.85,6.45
0.0,0.0,0.0,0.0,0.8,7.2,7.85,7.75,5.8,6.45
0.0,0.0,0.0,0.0,0.85,4.15,5.35,7.75,5.75,6.5
0.0,0.0,0.0,0.0,0.9,2.25,3.7,4.05,5.75,7.75
0.0,0.0,0.0,0.0,1.25,2.65,1.75,2.35,8.0,6.7
8.0,1.15,7.9,6.7,8.0,5.75,1.15,3.95,2.6,2.85
8.0,1.05,8.0,0.55,2.3,5.45,8.0,4.05,7.9,2.15
8.0,0.5,8.0,0.05,6.1,5.05,8.0,3.9,8.0,1.35
8.0,0.0,8.0,0.6,2.3,4.5,8.0,3.4,8.0,0.65
8.0,5.65,8.0,4.7,6.45,4.05,1.55,3.0,8.0,0.05
8.0,5.7,8.0,4.2,6.1,3.55,8.0,2.65,7.9,1.1
8.0,5.7,8.0,3.8,5.4,3.15,2.65,2.35,1.75,0.85
8.0,3.2,8.0,3.45,2.4,2.85,2.65,2.15,8.0,1.05
8.0,2.75,7.85,3.2,8.0,2.6,3.0,2.05,2.2,1.15
8.0,2.75,7.85,3.2,8.0,2.6,3.0,2.05,2.2,1.15
8.0,2.35,8.0,2.8,8.0,2.5,7.8,1.95,8.0,1.3
8.0,6.75,8.0,6.6,8.0,2.45,7.85,2.0,7.7,1.35
8.0,4.1,8.0,4.05,3.25,2.5,7.9,2.05,7.75,1.5
8.0,6.55,8.0,7.45,3.3,2.6,2.1,2.15,8.0,1.6
8.0,2.7,8.0,7.55,2.65,2.7,8.0,2.25,8.0,1.7
8.0,7.95,8.0,7.7,2.95,2.85,8.0,2.35,8.0,1.75
8.0,6.95,8.0,7.8,2.95,2.95,2.35,2.45,8.0,1.8
8.0,6.95,8.0,7.8,2.95,3.0,2.45,2.5,8.0,1.85
8.0,7.05,8.0,7.8,2.65,3.15,2.4,2.65,8.0,1.95
8.0,7.2,8.0,7.55,6.55,3.3,8.0,2.8,8.0,2.1
8.0,7.15,8.0,7.7,8.0,6.95,8.0,3.0,8.0,2.25
8.0,6.85,8.0,1.0,8.0,3.8,2.05,3.15,8.0,2.35
